nome;cultura;saco;preco
"MIX COBERTURA RUZIZIENSIS, MILHETO, SPECTABILIS SBS PURA VC80 25KG";Agricultura;25 kg;0
MIX COBERTURA SBMIX 70/30 SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX 70/30 SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX CAFE SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX CAFE SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SBMIX CAFE SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX CANA SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX CANA SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SBMIX CANA SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX DESCOMPACTADOR SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX DESCOMPACTADOR SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SBMIX DESCOMPACTADOR SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX INVERNO SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX INVERNO SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX N SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX N SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX NEMATOIDE SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX NEMATOIDE SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SBMIX NEMATOIDE SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX PALHADA SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MIX COBERTURA SBMIX PALHADA SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SBMIX PASTEJO SBS PURA VC80 1000KG;Agricultura;1000 kg;0
MISTURA DE ESPECIES BRACHIARIA RUZIZIENSIS E NABO FORRAGEIRO;Agricultura;—;0
"MISTURA DE ESPECIES DE CROTALARIA SPECTABILIS , BRACHIARIA RUZIZIENSIS E NABO FORRAGEIRO";Agricultura;—;0
"MISTURA DE ESPECIES DE CROTALARIA SPECTABILIS , NABO FORRAGEIRO E TRIGO MOURISCO 1000KG";Agricultura;1000 kg;0
"MISTURA DE ESPECIES DE CROTALARIA SPECTABILIS , NABO FORRAGEIRO E TRIGO MOURISCO 25KG";Agricultura;25 kg;0
MISTURA DE ESPECIES DE CROTALARIA SPECTABILIS E BRACHIARIA RUZIZIENSIS;Agricultura;—;0
MISTURA DE ESPECIES DE CROTALARIA SPECTABILIS E BRACHIARIA RUZIZIENSIS 500KG;Agricultura;500 kg;0
MISTURA DE ESPECIES MILHETO BRS 1501 E BRS PIATA NOBRE INCRUSTADA;Agricultura;—;0
MISTURA DE ESPECIES MILHETO BRS 1501 E MARANDU NOBRE INCRUSTADA;Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS 1501, MARANDU NOBRE INCRUSTADA E AVEIA PRETA (AVENA STRIGOSA)";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS 1501, MASSAI NOBRE INCRUSTADA  25KG";Agricultura;25 kg;0
"MISTURA DE ESPECIES MILHETO BRS 1501, MASSAI NOBRE INCRUSTADA, LLANERO NOBRE INCRUSTADA 25KG";Agricultura;25 kg;0
"MISTURA DE ESPECIES MILHETO BRS1501 , CROTALARIA OCHROLEUCA E CROTALARIA SPECTABILIS 25 KG";Agricultura;25 kg;0
"MISTURA DE ESPECIES MILHETO BRS1501 , CROTALARIA SPECTABILIS E BRS PIATA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501 ,CROTALARIA SPECTABILIS, FEIJAO GUANDU";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501 ,CROTALARIA SPECTABILIS, GUANDU E PIATA";Agricultura;—;0
MISTURA DE ESPECIES MILHETO BRS1501 E BRACHIARIA RUZIZIENSIS;Agricultura;—;0
